user_name,repository_name,no_of_stars,repository_url
mrdoob,three.js,75900.0,https://github.com/mrdoob/three.js
libgdx,libgdx,19300.0,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,15700.0,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,15300.0,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,13300.0,https://github.com/aframevr/aframe
ssloy,tinyrenderer,11600.0,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,11500.0,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,10200.0,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,8800.0,https://github.com/metafizzy/zdog
CesiumGS,cesium,8000.0,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7300.0,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7000.0,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,5700.0,https://github.com/isl-org/Open3D
spritejs,spritejs,4700.0,https://github.com/spritejs/spritejs
domlysz,BlenderGIS,4500.0,https://github.com/domlysz/BlenderGIS
tensorspace-team,tensorspace,4500.0,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4500.0,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4500.0,https://github.com/YadiraF/PRNet
openscad,openscad,4400.0,https://github.com/openscad/openscad
AaronJackson,vrn,4400.0,https://github.com/AaronJackson/vrn
ssloy,tinyraytracer,3900.0,https://github.com/ssloy/tinyraytracer
blender,blender,3800.0,https://github.com/blender/blender
mosra,magnum,3700.0,https://github.com/mosra/magnum
google,model-viewer,3600.0,https://github.com/google/model-viewer
gfxfundamentals,webgl-fundamentals,3300.0,https://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3100.0,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3100.0,https://github.com/jasonlong/isometric-contributions
rg3dengine,rg3d,2900.0,https://github.com/rg3dengine/rg3d
cnr-isti-vclab,meshlab,2500.0,https://github.com/cnr-isti-vclab/meshlab
antvis,L7,2500.0,https://github.com/antvis/L7
