user_name,repository_name,no_of_stars,repository_url
public-apis,public-apis,168000.0,https://github.com/public-apis/public-apis
httpie,httpie,52800.0,https://github.com/httpie/httpie
neovim,neovim,48600.0,https://github.com/neovim/neovim
strapi,strapi,40900.0,https://github.com/strapi/strapi
tiangolo,fastapi,38100.0,https://github.com/tiangolo/fastapi
slatedocs,slate,33300.0,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,32800.0,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,24500.0,https://github.com/hasura/graphql-engine
YMFE,yapi,23000.0,https://github.com/YMFE/yapi
encode,django-rest-framework,22200.0,https://github.com/encode/django-rest-framework
ccxt,ccxt,22000.0,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,21900.0,https://github.com/Binaryify/NeteaseCloudMusicApi
littlecodersh,ItChat,21800.0,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20700.0,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20000.0,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,18600.0,https://github.com/Kong/insomnia
microsoft,api-guidelines,17800.0,https://github.com/microsoft/api-guidelines
pubkey,rxdb,16500.0,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16200.0,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13500.0,https://github.com/learn-anything/learn-anything
youfou,wxpy,13000.0,https://github.com/youfou/wxpy
directus,directus,12800.0,https://github.com/directus/directus
jsdoc,jsdoc,12500.0,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12300.0,https://github.com/BrainJS/brain.js
ChainSafe,web3.js,12000.0,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10800.0,https://github.com/graphile/postgraphile
micro,micro,10700.0,https://github.com/micro/micro
go-chi,chi,10400.0,https://github.com/go-chi/chi
OpenAPITools,openapi-generator,10300.0,https://github.com/OpenAPITools/openapi-generator
postmanlabs,httpbin,10300.0,https://github.com/postmanlabs/httpbin
