user_name,repository_name,no_of_stars,repository_url
aspnetboilerplate,aspnetboilerplate,10000.0,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9800.0,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8600.0,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6700.0,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6000.0,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4800.0,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4300.0,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500.0,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2300.0,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100.0,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1800.0,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500.0,https://github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1500.0,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1200.0,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200.0,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,95000.0,https://github.com/MarimerLLC/csla
riganti,dotvvm,57000.0,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,56000.0,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,49000.0,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,44000.0,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,41000.0,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,41000.0,https://github.com/YAFNET/YAFNET
Maarten88,rrod,37000.0,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,35000.0,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,35000.0,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,33000.0,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,30000.0,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,30000.0,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,28000.0,https://github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,27000.0,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
