user_name,repository_name,no_of_stars,repository_url
jwasham,coding-interview-university,197000.0,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,142000.0,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,127000.0,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,124000.0,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,60900.0,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,54600.0,https://github.com/kdn251/interviews
azl397985856,leetcode,45200.0,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,42400.0,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,35800.0,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26500.0,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24100.0,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,21700.0,https://github.com/halfrost/LeetCode-Go
huihut,interview,21300.0,https://github.com/huihut/interview
keon,algorithms,20000.0,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,18500.0,https://github.com/trekhleb/homemade-machine-learning
youngyangyang04,leetcode-master,18300.0,https://github.com/youngyangyang04/leetcode-master
mxgmn,WaveFunctionCollapse,17000.0,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,16700.0,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,15900.0,https://github.com/TheAlgorithms/Javascript
AtsushiSakai,PythonRobotics,13700.0,https://github.com/AtsushiSakai/PythonRobotics
OpenGenus,cosmos,12900.0,https://github.com/OpenGenus/cosmos
greyireland,algorithm-pattern,12900.0,https://github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,11300.0,https://github.com/williamfiset/Algorithms
apachecn,apachecn-algo-zh,10500.0,https://github.com/apachecn/apachecn-algo-zh
halfrost,Halfrost-Field,10200.0,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,9000.0,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8300.0,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7400.0,https://github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,6900.0,https://github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,6900.0,https://github.com/mgechev/javascript-algorithms
