user_name,repository_name,no_of_stars,repository_url
flutter,flutter,132000.0,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,84300.0,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,57500.0,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,47700.0,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,44300.0,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41600.0,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41100.0,https://github.com/square/okhttp
android,architecture-samples,39800.0,https://github.com/android/architecture-samples
square,retrofit,39000.0,https://github.com/square/retrofit
Solido,awesome-flutter,38200.0,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34200.0,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33200.0,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,32100.0,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,32100.0,https://github.com/airbnb/lottie-android
bumptech,glide,31900.0,https://github.com/bumptech/glide
Trinea,android-open-project,30800.0,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30100.0,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29800.0,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29600.0,https://github.com/bilibili/ijkplayer
zxing,zxing,28700.0,https://github.com/zxing/zxing
skylot,jadx,27700.0,https://github.com/skylot/jadx
codepath,android_guides,27600.0,https://github.com/codepath/android_guides
square,leakcanary,26900.0,https://github.com/square/leakcanary
laurent22,joplin,26400.0,https://github.com/laurent22/joplin
alibaba,fastjson,23900.0,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23100.0,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22400.0,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21600.0,https://github.com/react-native-elements/react-native-elements
google,iosched,20900.0,https://github.com/google/iosched
NativeScript,NativeScript,20700.0,https://github.com/NativeScript/NativeScript
