user_name,repository_name,no_of_stars,repository_url
bregman-arie,devops-exercises,19300.0,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12200.0,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,11600.0,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,11000.0,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10600.0,https://github.com/pulumi/pulumi
mozilla,sops,8600.0,https://github.com/mozilla/sops
microsoft,computervision-recipes,8200.0,https://github.com/microsoft/computervision-recipes
google,go-cloud,8100.0,https://github.com/google/go-cloud
caprover,caprover,7900.0,https://github.com/caprover/caprover
microsoft,azuredatastudio,6600.0,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6100.0,https://github.com/node-formidable/formidable
midwayjs,midway,5000.0,https://github.com/midwayjs/midway
infracost,infracost,4400.0,https://github.com/infracost/infracost
thangchung,clean-code-dotnet,4300.0,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4000.0,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3900.0,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3700.0,https://github.com/nccgroup/ScoutSuite
aquasecurity,tfsec,3500.0,https://github.com/aquasecurity/tfsec
simov,grant,3500.0,https://github.com/simov/grant
bridgecrewio,checkov,3500.0,https://github.com/bridgecrewio/checkov
Qovery,engine,3400.0,https://github.com/Qovery/engine
Azure,azure-sdk-for-net,3000.0,https://github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,3000.0,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-cli,2800.0,https://github.com/Azure/azure-cli
Azure,azure-powershell,2800.0,https://github.com/Azure/azure-powershell
Azure,MachineLearningNotebooks,2800.0,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2700.0,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2600.0,https://github.com/APIs-guru/openapi-directory
microsoft,SynapseML,2500.0,https://github.com/microsoft/SynapseML
smartstore,SmartStoreNET,2300.0,https://github.com/smartstore/SmartStoreNET
