user_name,repository_name,no_of_stars,repository_url
jlevy,the-art-of-command-line,98300.0,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,53200.0,https://github.com/nvm-sh/nvm
junegunn,fzf,40400.0,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28000.0,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,27100.0,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,26800.0,https://github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,25600.0,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,24300.0,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22400.0,https://github.com/alebcay/awesome-shell
starship,starship,19800.0,https://github.com/starship/starship
jaywcjlove,linux-command,17200.0,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14000.0,https://github.com/Nyr/openvpn-install
rbenv,rbenv,13700.0,https://github.com/rbenv/rbenv
dylanaraps,neofetch,13500.0,https://github.com/dylanaraps/neofetch
powerline,powerline,12900.0,https://github.com/powerline/powerline
shelljs,shelljs,12800.0,https://github.com/shelljs/shelljs
Bash-it,bash-it,12600.0,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12100.0,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12100.0,https://github.com/faressoft/terminalizer
denisidoro,navi,9900.0,https://github.com/denisidoro/navi
codota,TabNine,8800.0,https://github.com/codota/TabNine
rgcr,m-cli,8600.0,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8500.0,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8200.0,https://github.com/kanaka/mal
direnv,direnv,8100.0,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7800.0,https://github.com/skywind3000/awesome-cheatsheets
withfig,autocomplete,7200.0,https://github.com/withfig/autocomplete
angristan,openvpn-install,7000.0,https://github.com/angristan/openvpn-install
carlospolop,PEASS-ng,6900.0,https://github.com/carlospolop/PEASS-ng
Mayccoll,Gogh,6400.0,https://github.com/Mayccoll/Gogh
