user_name,repository_name,no_of_stars,repository_url
bitcoin,bitcoin,59100.0,https://github.com/bitcoin/bitcoin
ccxt,ccxt,22000.0,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17200.0,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,13300.0,https://github.com/freqtrade/freqtrade
askmike,gekko,9800.0,https://github.com/askmike/gekko
bbfamily,abu,8500.0,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7200.0,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6400.0,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5800.0,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5500.0,https://github.com/lightningnetwork/lnd
solana-labs,solana,5500.0,https://github.com/solana-labs/solana
butor,blackbird,5400.0,https://github.com/butor/blackbird
spesmilo,electrum,5300.0,https://github.com/spesmilo/electrum
btcsuite,btcd,4500.0,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4400.0,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100.0,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3800.0,https://github.com/bisq-network/bisq
michaelgrosner,tribeca,3600.0,https://github.com/michaelgrosner/tribeca
CryptoSignal,Crypto-Signal,3600.0,https://github.com/CryptoSignal/Crypto-Signal
Scanate,EthList,3500.0,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3500.0,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3400.0,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3400.0,https://github.com/coinpride/CryptoList
bitpay,wallet,3300.0,https://github.com/bitpay/wallet
jesse-ai,jesse,3200.0,https://github.com/jesse-ai/jesse
SqueezerIO,squeezer,3200.0,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3100.0,https://github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,3100.0,https://github.com/btcpayserver/btcpayserver
cointop-sh,cointop,2800.0,https://github.com/cointop-sh/cointop
lbryio,lbrycrd,2800.0,https://github.com/lbryio/lbrycrd
