user_name,repository_name,no_of_stars,repository_url
ccxt,ccxt,22000.0,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,16900.0,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,16200.0,https://github.com/discordjs/discord.js
hubotio,hubot,16000.0,https://github.com/hubotio/hubot
timgrossmann,InstaPy,13400.0,https://github.com/timgrossmann/InstaPy
RasaHQ,rasa,13000.0,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11700.0,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10500.0,https://github.com/howdyai/botkit
botpress,botpress,9400.0,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8600.0,https://github.com/sfyc23/EverydayWechat
tgbot-collection,YYeTsBot,8100.0,https://github.com/tgbot-collection/YYeTsBot
leon-ai,leon,8100.0,https://github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900.0,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6800.0,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6700.0,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6000.0,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5700.0,https://github.com/yagop/node-telegram-bot-api
botman,botman,5500.0,https://github.com/botman/botman
deepmipt,DeepPavlov,5500.0,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,5100.0,https://github.com/telegraf/telegraf
axa-group,nlp.js,4600.0,https://github.com/axa-group/nlp.js
jef,streetmerchant,4600.0,https://github.com/jef/streetmerchant
ohld,igbot,4100.0,https://github.com/ohld/igbot
pedroslopez,whatsapp-web.js,3900.0,https://github.com/pedroslopez/whatsapp-web.js
Yoctol,bottender,3800.0,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700.0,https://github.com/PokemonGoF/PokemonGo-Bot
snipsco,snips-nlu,3600.0,https://github.com/snipsco/snips-nlu
orkestral,venom,3300.0,https://github.com/orkestral/venom
goq,telegram-list,3300.0,https://github.com/goq/telegram-list
chrisleekr,binance-trading-bot,3300.0,https://github.com/chrisleekr/binance-trading-bot
