user_name,repository_name,no_of_stars,repository_url
Genymobile,scrcpy,57500.0,https://github.com/Genymobile/scrcpy
neovim,neovim,48600.0,https://github.com/neovim/neovim
git,git,40100.0,https://github.com/git/git
fffaraz,awesome-cpp,34700.0,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,32800.0,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,28600.0,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26900.0,https://github.com/FFmpeg/FFmpeg
vim,vim,25200.0,https://github.com/vim/vim
ggreer,the_silver_searcher,22800.0,https://github.com/ggreer/the_silver_searcher
curl,curl,22600.0,https://github.com/curl/curl
huihut,interview,21300.0,https://github.com/huihut/interview
ruby,ruby,18600.0,https://github.com/ruby/ruby
google,flatbuffers,17000.0,https://github.com/google/flatbuffers
mpv-player,mpv,16800.0,https://github.com/mpv-player/mpv
pbatard,rufus,16600.0,https://github.com/pbatard/rufus
oracle,graal,16200.0,https://github.com/oracle/graal
radareorg,radare2,15300.0,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14700.0,https://github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14200.0,https://github.com/microsoft/vcpkg
allinurl,goaccess,14000.0,https://github.com/allinurl/goaccess
vurtun,nuklear,13300.0,https://github.com/vurtun/nuklear
jarun,nnn,12900.0,https://github.com/jarun/nnn
facebook,infer,12700.0,https://github.com/facebook/infer
kovidgoyal,kitty,12700.0,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,12200.0,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,11500.0,https://github.com/TheAlgorithms/C
qmk,qmk_firmware,10900.0,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,10900.0,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10800.0,https://github.com/hashcat/hashcat
jonas,tig,10400.0,https://github.com/jonas/tig
