user_name,repository_name,no_of_stars,repository_url
electron,electron,98900.0,https://github.com/electron/electron
FiloSottile,mkcert,32700.000000000004,https://github.com/FiloSottile/mkcert
microsoft,playwright,30600.0,https://github.com/microsoft/playwright
ovity,octotree,21700.0,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,20200.0,https://github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,19000.0,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,17200.0,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13700.0,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13200.0,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12300.0,https://github.com/google/WebFundamentals
casesandberg,react-color,10200.0,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9100.0,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8300.0,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100.0,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,6900.0,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6500.0,https://github.com/alvarcarto/url-to-pdf-api
MetaMask,metamask-extension,6100.0,https://github.com/MetaMask/metamask-extension
kangvcar,InfoSpider,5900.0,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5200.0,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5100.0,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4700.0,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4600.0,https://github.com/firefox-devtools/debugger
themerdev,themer,4500.0,https://github.com/themerdev/themer
burtonator,polar-bookshelf,4400.0,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300.0,https://github.com/nieweidong/fetool
gildas-lormeau,SingleFile,4300.0,https://github.com/gildas-lormeau/SingleFile
moonD4rk,HackBrowserData,3800.0,https://github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,3800.0,https://github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,3700.0,https://github.com/bilibili-helper/bilibili-helper-o
melonjs,melonJS,3700.0,https://github.com/melonjs/melonJS
