user_name,repository_name,no_of_stars,repository_url
metabase,metabase,26500.0,https://github.com/metabase/metabase
eclipse,deeplearning4j,12200.0,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600.0,https://github.com/LightTable/LightTable
kanaka,mal,8200.0,https://github.com/kanaka/mal
lk-geimfari,awesomo,8100.0,https://github.com/lk-geimfari/awesomo
logseq,logseq,7400.0,https://github.com/logseq/logseq
penpot,penpot,5300.0,https://github.com/penpot/penpot
tonsky,datascript,4400.0,https://github.com/tonsky/datascript
reagent-project,reagent,4300.0,https://github.com/reagent-project/reagent
riemann,riemann,4100.0,https://github.com/riemann/riemann
weavejester,compojure,3900.0,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3700.0,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3600.0,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3400.0,https://github.com/ring-clojure/ring
status-im,status-react,3300.0,https://github.com/status-im/status-react
clojure-emacs,cider,3200.0,https://github.com/clojure-emacs/cider
bhauman,lein-figwheel,2900.0,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2800.0,https://github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,2800.0,https://github.com/viebel/klipse
twosigma,beakerx,2600.0,https://github.com/twosigma/beakerx
pedestal,pedestal,2400.0,https://github.com/pedestal/pedestal
babashka,babashka,2400.0,https://github.com/babashka/babashka
clj-commons,aleph,2400.0,https://github.com/clj-commons/aleph
weavejester,hiccup,2300.0,https://github.com/weavejester/hiccup
razum2um,awesome-clojure,2300.0,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2200.0,https://github.com/http-kit/http-kit
onyx-platform,onyx,2000.0,https://github.com/onyx-platform/onyx
defold,defold,1900.0,https://github.com/defold/defold
anmonteiro,lumo,1900.0,https://github.com/anmonteiro/lumo
boot-clj,boot,1700.0,https://github.com/boot-clj/boot
