user_name,repository_name,no_of_stars,repository_url
ohmyzsh,ohmyzsh,136000.0,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,52800.0,https://github.com/httpie/httpie
junegunn,fzf,40400.0,https://github.com/junegunn/fzf
sharkdp,bat,30300.0,https://github.com/sharkdp/bat
wagoodman,dive,28400.0,https://github.com/wagoodman/dive
sherlock-project,sherlock,28200.0,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,28100.0,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,27600.0,https://github.com/chubin/cheat.sh
cli,cli,26200.0,https://github.com/cli/cli
angular,angular-cli,25000.0,https://github.com/angular/angular-cli
spf13,cobra,24000.0,https://github.com/spf13/cobra
alebcay,awesome-shell,22400.0,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,22000.0,https://github.com/jesseduffield/lazygit
google,python-fire,20400.0,https://github.com/google/python-fire
tqdm,tqdm,20100.0,https://github.com/tqdm/tqdm
sharkdp,fd,19500.0,https://github.com/sharkdp/fd
avajs,ava,19400.0,https://github.com/avajs/ava
vercel,pkg,19200.0,https://github.com/vercel/pkg
n8n-io,n8n,18800.0,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,17800.0,https://github.com/ibraheemdev/modern-unix
chalk,chalk,17400.0,https://github.com/chalk/chalk
vadimdemedes,ink,17100.0,https://github.com/vadimdemedes/ink
svg,svgo,16900.0,https://github.com/svg/svgo
urfave,cli,16800.0,https://github.com/urfave/cli
gpakosz,.tmux,15400.0,https://github.com/gpakosz/.tmux
allinurl,goaccess,14000.0,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13800.0,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13200.0,https://github.com/infinitered/ignite
jarun,nnn,12900.0,https://github.com/jarun/nnn
pomber,git-history,12700.0,https://github.com/pomber/git-history
